Question
Mommy bought four egg cartons, and each had six eggs.  Two of the eggs were bad. How many good eggs did Mommy get? ,
'Johnson''s ordered 4 pizzas, sliced into four pieces each. This time the dog ate one piece. How many pieces did the people eat? ,'
'Joe has three friends who all have five toy cars, and then two friends who only have two cars. How many cars do Joe''s friends have?,'
Carol went to the store 4 times last month. She buys 63 eggs each time she goes to the store. How many eggs did Carol buy last month?, 
There are 20 bananas in each box. How many bananas are in 9 boxes?, 
There are 79 students in the class and 2370 oranges. If the oranges are divided equally among the students, how many does each student get?, 
Eric starts with 8 cards. He gives 4 to Amanda. How many cards does Eric end with?, 
There are 69 pencils in a box. Angela takes 66 pencils. How many are left?, 
Angela removes 80 blocks from a jar. There were originally 83 blocks and 8 pencils in the jar. How many blocks are left in the jar?, 
Billy has 59 bottle caps. Thomas has 15 bottle caps. He loses 6. How many bottle caps will Billy have?, 
Amanda weighs 84 pounds. John weighs 21 pounds. Virginia weighs 5 pounds. How much heavier is Amanda than John?, 
Carolyn has 75 cards. Deborah has 8 cards. Timothy takes 61 away. How many cards will Carolyn have?, 
Tammy weighs 94 pounds. Charles weighs 74 pounds. Kimberly weighs 8 pounds. How much heavier is Tammy than Charles?,
6 of the classes at your school are going to the pool for a swimming party. That means 125 students need to et on buses and each bus hold 48  stu-dents. How many buses will the school need?  ,
Atomic fireballs come in packages of 5. Andrea ate 20 Atomic Fireballs. How many whole boxes did she eat and how many Atomic Fireballs does she have left?, 
Gumballs come in packages of 10. Steven ate 15 gumballs. How many whole boxes did he eat and how many gumballs does he have left?, 
Annie made a necklace with white and pink beads. She used 30 white beads and 15 more pink beads than white beads. How many pink beads did she use to make the necklace?,
44 boys enrolled for an ice-skating competition that was to be held the next fortnight. 10 more boys enrolled the following week. How many boys participated in the competition altogether?,
Joan found 70 seashells on the beach . she gave Sam some of her seashells . She has 27 seashell . How many seashells did she give to Sam ? ,
There were 28 bales of hay in the barn . Tim stacked bales in the barn today . There are now 54 bales of hay in the barn . How many bales did he store in the barn ? ,
Mary is baking a cake . The recipe wants 8 cups of flour . She already put in 2 cups . How many cups does she need to add ? ,
'Sara ''s high school played 12 basketball games this year . The team won most of their games . They were defeated during 4 games . How many games did they win ? ,'
There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ? ,
Mike had 34 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86 peaches . how many did he pick ? ,
There were 6 roses in the vase . Mary cut some roses from her flower garden . There are now 16 roses in the vase . How many roses did she cut ? ,
Joan went to 4 football games this year . She went to 9 games last year . How many football games did Joan go to in all ? ,
Tom has 9 yellow balloons Sara has 8 yellow balloons . How many yellow balloons do they have in total ? ,
There are 4 walnut trees currently in the park . Park workers will plant 6 walnut trees today . How many walnut trees will the park have when the workers are finished ? ,
Sam had 9 dimes in his bank . His dad gave him 7 dimes . How many dimes does Sam have now ? ,
'Alyssa ''s dog had puppies . She gave 7 to her friends . She now has 5 puppies . How many puppies did she have to start with ? ,'
A restaurant served 9 pizzas during lunch and 6 during dinner today . How many pizzas were served today ? ,
There are 2 pencils in the drawer . Tim placed 3 pencils in the drawer . How many pencils are now there in total ? ,
